,0
1983,-2.66
1984,-2.30
1985,-0.63
1986,-1.03
1987,-0.97
1988,-0.22
1989,-1.35
1990,-0.93
1991,-1.03
1992,-1.77
1993,-1.44
1994,-0.89
1995,-0.88
1996,-0.32
1997,-0.33
1998,0.16
1999,0.02
2000,-0.23
2001,-0.09
2002,-0.60
2003,1.24
2004,0.57
2005,0.46
2006,0.32
2007,0.64
2008,0.08
2009,0.08
2010,1.71
2011,0.24
2012,0.82
2013,0.20
2014,0.48
2015,-0.78
2016,0.13
2017,-0.07
2018,-0.55
2019,0.80
1784,-2.08
1785,-1.15
1786,0.93
1787,-2.34
1788,-0.77
1789,0.01
1790,-1.08
1791,-1.46
1792,-2.68
1793,
1794,
1795,
1796,-2.76
1797,-1.20
1798,-1.42
1799,-2.46
1800,-0.92
1801,-1.64
1802,-6.56
1803,
1804,
1805,
1806,-6.30
1807,-3.44
1808,-1.01
1809,-3.93
1810,-2.50
1811,-3.12
1812,-1.09
1813,-8.39
1814,
1815,
1816,-1.98
1817,-3.01
1818,-3.13
1819,-1.82
1820,-1.35
1821,-3.07
1822,
1823,
1824,
1825,
1826,
1827,
1828,
1829,
1830,-4.01
1831,-2.46
1832,-5.69
1833,
1834,
1835,
1836,
1837,
1838,
1839,
1840,
1841,-1.67
1842,-1.19
1843,-0.62
1844,-2.35
1845,-0.50
1846,-2.98
1847,-5.28
1848,-4.19
1849,-6.27
1850,
1851,
1852,
1853,
1854,
1855,-2.52
1856,-2.25
1857,
1858,-6.97
1859,-5.54
1860,
1861,
1862,
1863,
1864,
1865,
1866,-2.17
1867,-0.76
1868,-2.02
1869,-1.19
1870,-0.64
1871,-0.04
1872,0.60
1873,-0.88
1874,-0.93
1875,-0.54
1876,-0.44
1877,-0.80
1878,0.41
1879,-0.64
1880,-0.88
1881,-0.31
1882,-2.17
1883,-2.19
1884,-2.86
1885,-0.80
1886,-1.50
1887,-1.59
1888,-0.29
1889,-1.08
1890,-1.31
1891,-1.28
1892,-0.08
1893,-0.39
1894,-1.94
1895,0.21
1896,-1.70
1897,-0.98
1898,-2.54
1899,-1.11
1900,-0.35
1901,-0.09
1902,-0.56
1903,-0.71
1904,-1.18
1905,-0.56
1906,-1.56
1907,-1.78
1908,-0.63
1909,-0.44
1910,-1.24
1911,-1.12
1912,-0.15
1913,-1.45
1914,-1.92
1915,0.03
1916,0.78
1917,0.52
1918,-1.70
1919,-0.30
1920,-1.26
1921,-1.48
1922,-1.06
1923,0.20
1924,0.20
1925,-0.45
1926,0.57
1927,0.28
1928,0.91
1929,1.10
1930,0.28
1931,0.17
1932,0.83
1933,0.29
1934,0.09
1935,0.53
1936,0.97
1937,-0.29
1938,-1.22
1939,0.52
1940,0.18
1941,0.71
1942,0.46
1943,-0.43
1944,-0.57
1945,-0.16
1946,0.21
1947,0.78
1948,-0.15
1949,-0.63
1950,-0.51
1951,-0.34
1952,-0.48
1953,-1.17
1954,-0.34
1955,-0.26
1956,-0.99
1957,-0.61
1958,-0.21
1959,-0.67
1960,-0.13
1961,-0.45
1962,-0.11
1963,0.46
1964,-0.29
1965,0.78
1966,0.78
1967,-0.11
1968,-0.15
1969,-0.47
1970,-1.30
1971,-1.44
1972,-2.05
1973,-0.59
1974,-0.93
1975,-0.73
1976,-0.67
1977,-0.16
1978,-1.20
1979,-0.10
1980,0.38
1981,-0.38
1982,-1.48
2020,-0.03
2021,1.16
2022,0.13
2023,0.61
